date,atoll,island,location,status,transect,depth,habitat,comparison,pebble,>2000,1000-2000,500-1000,250-500,125-250,63-125,31-63,16-31,8-16,<8,clay,mean_grainsize,N,d15N,Corg,CN,Coral,Halimeda,Mollusc,Foraminifera,Crustacea,Echinoderms,Soft coral,CCA,Other,framework
2021,Salomon,Ile de la Passe,Outer reef,high,1,0,beach,a,0,0.085459129,0.49423863,5.059180447,73.27408167,20.75090088,0.336139241,0,0,0,0,0,0.359563197,0.042,8.374,0.758,18.04761905,77.72229652,0,9.124909089,5.681466612,0,0,2.119350163,3.6680058,1.683971811,81.39030232
2021,Salomon,Ile de la Passe,Outer reef,high,1,5,shallow,y,0,14.56093012,26.83028451,31.12178088,18.73933574,7.682234832,0.8511567,0.214277211,0,0,0,0,0.650118398,0.034,6.531,0.204,6,69.47716051,0.835831125,4.85863679,5.341847192,2.513963908,1.221515653,1.342477794,11.18154374,3.227023293,80.65870425
2021,Salomon,Ile de la Passe,Outer reef,high,1,10,deep,y,0,5.057540128,16.16116229,42.7818967,29.89590354,5.21231184,0.728924836,0.162260666,0,0,0,0,0.467918445,0.03,5.861,0.192,6.4,74.4481697,1.231966412,8.593523336,4.250854303,1.103315912,0.758281264,2.94805035,4.029877967,2.635960753,78.47804767
2021,Salomon,Ile de la Passe,Lagoon,high,1,0,beach,a,0,0.17412231,0.38788222,4.211494904,71.8304077,23.32955832,0.066534541,0,0,0,0,0,0.376879565,0.016,8.742,0.192,12,80.01811369,1.364268512,7.940380333,2.300937669,0.027116413,0,0,6.040792922,2.308390459,86.05890661
2023,Salomon,Ile de la Passe,Lagoon,high,1,1.2,lagoon,y,0,3.091443757,11.12786465,29.9589307,29.33747636,18.26209378,8.222190751,0,0,0,0,0,0.521560987,,,,,75.1835622,2.218536239,5.791725688,3.957418314,1.36358722,0.870743714,0,6.193291969,4.421134659,81.37685417
2021,Salomon,Ile Anglaise,Outer reef,low,1,0,beach,a,0,12.49772796,17.28415632,36.76613148,32.43714026,1.004241139,0.010602848,0,0,0,0,0,0.5253466,0.017,6.865,0.171,10.05882353,69.26396069,1.1209858,11.5363158,4.685106172,0.627247728,0.307048799,0.440848004,8.791065976,3.227421039,78.05502666
2021,Salomon,Ile Anglaise,Outer reef,low,1,5,shallow,y,0,21.10493603,24.42043664,27.53856542,15.44867467,9.492892882,1.623989335,0.37050503,0,0,0,0,0.733069262,0.035,7.851,0.231,6.6,69.54570285,4.077018854,7.083233126,4.467591585,1.514435394,1.469840347,0.959950317,7.807543455,3.074684073,77.3532463
2021,Salomon,Ile Anglaise,Outer reef,low,1,10,deep,y,0,0.996902281,3.677837229,24.40720924,51.74035483,17.5443537,1.410870177,0.222472543,0,0,0,0,0.406460926,0.024,6.441,0.187,7.791666667,78.57634623,1.065020897,6.09796336,5.257864109,1.587863241,0.805524738,1.118286167,2.334167404,3.156963857,80.91051363
2021,Salomon,Ile Anglaise,Lagoon,low,1,0,beach,a,0,1.137925256,0.269817329,0.735713089,63.76571141,32.59259259,1.498240322,0.026814144,0,0,0,0,0.45893552,0.023,6.62,0.216,9.391304348,42.83863887,0,28.03862553,24.60352292,0.010067392,0.005033696,0.401905002,2.8885048,1.213701789,45.72714367
2023,Salomon,Ile Anglaise,Lagoon,low,1,1.5,lagoon,y,0,1.971862606,10.91945421,29.06034074,29.86105914,19.57394797,8.613335329,0,0,0,0,0,0.51567743,,,,,67.77881327,1.036321842,9.3499579,3.28770006,3.100764967,2.628626247,0.426440876,7.746361717,4.645013117,75.52517499
2021,Peros Banhos,Ile Poule,Outer reef,low,1,0,beach,a,0,0.729066485,1.147891912,12.23280489,73.13622685,12.74470263,0.009307232,0,0,0,0,0,0.323044706,0.014,7.847,0.136,9.714285714,75.61123778,2.29897579,8.242946596,1.985809454,0.063157888,0,5.440999288,4.79775522,1.559117983,80.408993
2021,Peros Banhos,Ile Poule,Outer reef,low,1,5,shallow,y,0,7.829339419,21.9189806,37.76784582,23.43730189,6.960821605,1.337644225,0.748066438,0,0,0,0,0.543970141,0.028,7.086,0.205,7.321428571,80.30495703,0.708356737,6.395752735,2.742847796,1.453611922,1.047564414,2.264037806,3.523307456,1.559564109,83.82826448
2021,Peros Banhos,Ile Poule,Outer reef,low,1,10,deep,y,0,6.879566982,11.80514208,25.05006766,33.15290934,19.0473613,3.442489851,0.622462788,0,0,0,0,0.551477537,0.037,6.259,1.035,27.97297297,76.81584579,0.365378073,6.944269008,5.159717282,0.215239467,0.280049002,4.233671843,4.022396438,1.963433097,80.83824223
2021,Peros Banhos,Ile Poule,Lagoon,low,1,0,beach,a,0,0.079200879,2.12710933,64.1300834,33.57147475,0.07596819,0.016163445,0,0,0,0,0,0.32139539,0.024,5.488,0.321,13.375,79.72366661,3.180122724,8.180200943,2.359342439,0.165538041,0,2.308726114,2.985500926,1.096902199,82.70916754
2023,Peros Banhos,Ile Poule,Lagoon,low,1,1.5,lagoon,y,0,16.26042335,10.67317106,5.702035718,48.96526113,18.10877418,0.29033456,0,0,0,0,0,0.610104655,,,,,51.74690376,5.795447143,8.879062405,19.40472079,0.538342028,0.977578265,0.198131617,7.538712193,4.921101794,59.28561596
2021,Peros Banhos,Grande Coquillage,Outer reef,high,1,0,beach,a,0,0.62924742,1.386357916,15.48351372,72.43090863,9.989428643,0.08054367,0,0,0,0,0,0.308615052,0.021,9.421,0.212,10.0952381,65.71382128,10.50226591,9.903171848,8.809164223,0,0,2.239974945,1.945806371,0.885795417,67.65962765
2023,Peros Banhos,Grande Coquillage,Outer reef,high,1,5,shallow,y,0,0.743494424,6.740548502,55.42540506,36.45226906,0.585677211,0.04208459,0.010521148,0,0,0,0,0.343732728,0.033,7.129,0.342,10.36363636,60.55197058,16.21784135,5.509539292,2.820076568,0.066183889,0.245142096,11.91214188,1.747144785,0.929959551,62.29911537
2021,Peros Banhos,Grande Coquillage,Outer reef,high,1,10,deep,y,0,2.505742326,7.278584852,43.81469439,41.22841035,4.805655818,0.325149897,0.041762372,0,0,0,0,0.381377338,0.018,7.915,0.198,11,47.41240021,31.88441842,7.132765729,2.836837732,1.494799421,0.246316468,5.007651411,2.561837437,1.422973173,49.97423764
2021,Peros Banhos,Grande Coquillage,Lagoon,high,1,0,beach,a,0,0.714963807,1.456627507,35.93063961,58.70416518,2.580989676,0.612614216,0,0,0,0,0,0.294709194,0.017,9.406,0.142,8.352941176,71.53947852,2.014551874,9.803721824,5.436342399,0,0,3.881523876,5.255401424,2.068980083,76.79487994
2023,Peros Banhos,Grande Coquillage,Lagoon,high,1,1.5,lagoon,y,0,12.81765034,14.58523067,20.92501738,32.84859524,15.40194091,3.421565459,0,0,0,0,0,0.60881812,,,,,61.07565201,11.6960059,7.647095752,3.659588537,1.086220683,1.445116052,1.762685983,7.181715688,4.445919394,68.2573677
2021,Great Chagos Bank,Middle Brother,Outer reef,high,1,0,beach,a,0,3.145907123,3.989571035,24.91637151,52.92945691,14.99409681,0.024596616,0,0,0,0,0,0.411638688,0.018,8.127,0.251,13.94444444,74.43929715,15.53789115,3.770166486,2.518774568,0,0,0.745979072,2.341530886,0.646360687,76.78082803
2021,Great Chagos Bank,Middle Brother,Outer reef,high,1,5,shallow,y,0,11.36170814,9.827488688,42.36425339,34.69669118,1.67915724,0.06716629,0.001767534,0,0,0,0,0.484350785,0.027,6.323,0.193,7.148148148,68.78085709,15.24090764,4.876321947,1.624307442,0.887519065,0.91220951,5.485751086,1.561355584,0.630770628,70.34221268
2021,Great Chagos Bank,Middle Brother,Outer reef,high,1,10,deep,y,0,3.908115562,4.375609592,29.69764235,52.9378132,8.630141594,0.380049104,0.070628594,0,0,0,0,0.386234991,0.026,6.562,0.161,6.192307692,73.91906603,12.81714496,4.08231728,2.960197248,0.206263336,0.345684499,4.679154256,0.761628325,0.22854406,74.68069436
2021,Great Chagos Bank,Middle Brother,Lagoon,high,1,0,beach,a,0,0.750625521,1.182803852,10.65660778,51.49746,35.71536887,0.181969823,0.015164152,0,0,0,0,0.495354841,0.028,12.646,0.259,9.25,48.37197684,29.65154017,9.345114691,6.735038612,0.157224194,0.500080494,2.84325877,1.882538747,0.513227482,50.25451558
2023,Great Chagos Bank,Middle Brother,Lagoon,high,1,1.5,lagoon,y,0,6.766649897,30.94217858,48.17584095,11.91124681,2.078309595,0.125774162,0,0,0,0,0,0.556991482,,,,,63.67389728,13.4490908,4.504959498,2.15812613,0.317351859,0.160491105,5.006708759,7.186663455,3.542711113,70.86056074
2021,Great Chagos Bank,Eagle,Outer reef,low,1,0,beach,a,0,0.869431084,0.775476434,7.851523608,63.74612612,26.70836196,0.046276171,0.002804616,0,0,0,0,0.420519134,0.018,5.292,0.166,9.222222222,67.56541612,10.30867718,8.92852315,1.531770161,0,0,6.132510507,3.940562371,1.592540501,71.50597849
2023,Great Chagos Bank,Eagle,Outer reef,low,1,4,shallow,y,0,1.31928066,6.545732606,27.87348909,23.25784935,32.20537294,8.798275354,0,0,0,0,0,0.576786165,,,,,53.95860558,8.43731708,13.26490064,4.860410126,0.882917498,1.946436716,1.790784375,9.291602576,5.567025406,63.25020816
2021,Great Chagos Bank,Eagle,Outer reef,low,1,10,deep,y,0,24.18132991,18.16505672,34.4101968,17.45160127,4.982163614,0.641308269,0.168343421,0,0,0,0,0.712369834,0.035,6.091,0.256,7.314285714,64.5757742,21.62360935,6.52736736,1.162726186,0.365256978,0.547885466,1.419797917,2.787177343,0.990405196,67.36295155
2021,Great Chagos Bank,Eagle,Lagoon,low,1,0,beach,a,0,0.199282583,0.159426066,1.938476032,41.64643647,55.97666582,0.079713033,0,0,0,0,0,0.619022972,0.018,6.562,0.163,9.055555556,77.31780635,9.375297239,4.47975801,3.93628442,0.023025271,0,1.430056115,2.476726767,0.961045834,79.79453311
2023,Great Chagos Bank,Eagle,Lagoon,low,1,1.2,lagoon,y,0,7.838251119,12.37356289,46.17885258,30.3924789,3.075267599,0.141586906,0,0,0,0,0,0.47048536,,,,,58.49330044,13.96100527,4.884196067,6.968056478,0.73174674,0.801627603,1.311095927,7.290404302,5.558567169,65.78370475
