"island","habitat","status","urchins_mean","parrotfish_mean","molluscs_mean","algae_mean","forams_mean","sponge_mean","sediment_mean","coral_mean","cca_mean","urchins_sd","parrotfish_sd","molluscs_sd","algae_sd","forams_sd","sponge_sd","sediment_sd","coral_sd","cca_sd"
"Ile de la Passe","lagoon","high",0,1.35493154975,0.00809754575,0.00419646075,0.035531161,0.03390174425,1.43665846125,1.3210867165,0.0677465775,0,0.628897450860656,0.0100943449489505,0.00408060448613555,0,0.0101464543577357,0.627411020088319,0.606763571304421,0.0314448726023436
"Ile de la Passe","shallow","high",0.19934487975,1.655668427,6.05e-05,0.00566912,0.014154718,0.03201804,1.906915685,1.71454272975,0.17248861725,0.15081359545573,1.12299649372327,2.76827262626594e-05,0.00829994718219688,0,0.00114805150720688,1.12080363456901,1.06107303317909,0.0837447443877193
"Ile de la Passe","deep","high",0.000106435,1.80248585075,5.5e-06,0.022243888,0.026052486,0.01676108,1.86765523975,1.72918117725,0.09017218825,0.000122900551802396,2.05819786462377,1.1e-05,0.0341474738724857,0,0.000681624138852687,2.08369171112396,1.95508804589289,0.102925736537375
"Ile Anglaise","lagoon","low",0,0.74611152475,0.02275477275,0,0.024509943,0.036320685,0.829696926,0.74512663375,0.03730557625,0,0.670511870724227,0.0228535280507168,0,0,0.00753111762468891,0.651114986858509,0.631004578424078,0.0335255935744089
"Ile Anglaise","shallow","low",0.00156104533333333,1.72524223866667,0,0.006696236,0.024070626,0.03617638,1.79374652633333,1.67601508166667,0.0869645823333333,0.00270380983025163,2.00174164418994,0,0.00886424127141585,0,0.00339343751043098,2.00797103983696,1.89977067310605,0.099361876559283
"Ile Anglaise","deep","low",0,3.6409315705,0.00113636375,0.02361564375,0.019227845,0.01519868,3.700110103,3.474083672,0.18204657875,0,1.84122732603706,0.0022727275,0.0277979530031003,0,0.00183526758434113,1.85372164024381,1.75080279554756,0.0920613663380498
"Grande Coquillage","lagoon","high",0.08486486875,3.0436425365,0.0045949545,0.008946368,0.020344666,0.040331775,3.20272516925,2.9784678625,0.190371318,0.0695513729924161,1.86780064619989,0.00914592663992816,0.0098214473137623,0,0.00446734271200453,1.92959331931466,1.80265355295793,0.119127898966592
"Grande Coquillage","shallow","high",0.162510266,0.38649473325,1.1e-05,0.002108801,0.007922559,0.037557585,0.5966049445,0.494108228,0.09245435625,0.122671341502074,0.612877840453333,1.27017059221718e-05,0.0035806833592301,0,0.00299181332891821,0.694522306480304,0.625545207088598,0.07852975137814
"Grande Coquillage","deep","high",0.004310614,2.32600733175,0.0080480455,0.0090981915,0.017878875,0.01469524,2.3800382975,2.226773043,0.118240143,0.00344724308484921,2.86153456720755,0.00772968718539435,0.0115614456927889,0,0.00323972206511608,2.85841085138921,2.71546139592588,0.141919231877297
"Ile Poule","lagoon","low",0.0251265275,1.03408976275,0.00131150675,0.0060025975,0.167571323,0.04174341175,1.275845137,1.03794827625,0.0630114255,0.0429985286673985,1.33344010401022,0.002574378739641,0.00535292832872964,0,0.00520175648535302,1.36687131373043,1.28585913775799,0.0859191240376781
"Ile Poule","shallow","low",0.0875133425,1.694416326,0.000275,0,0.018286186,0.04868085,1.84917170425,1.70650869825,0.12410182025,0.114591261197989,2.67768623951769,0.000126380378223837,0,0,0.00308377361095136,2.62404011587788,2.51505520924127,0.116604990084744
"Ile Poule","deep","low",0.01107746375,4.2815852495,0.01144063625,0.01149142275,0.019346474,0.01745114,4.3523923865,4.091049732,0.21906412125,0.00840003487173513,1.53003464984036,0.0171953003105647,0.0107268493775227,0,0.00222841708352214,1.55332028639882,1.45673800613101,0.0800687513312348
"Middle Brother","lagoon","high",0,0.9946693345,0.0045784545,0.01571706225,0.020130434,0.02689374,1.06198902525,0.971829608,0.049733467,0,1.47640788369885,0.00912759923380446,0.00185652226789687,0,0.0015953965001842,1.4868411936347,1.40253922050288,0.0738203940717674
"Middle Brother","shallow","high",0.741544005,1.13780844775,0.003546591,0.00101028375,0.013374119,0.03138192,1.92866536675,1.52014914825,0.3905852245,0.824040778753935,1.42383537422545,0.00677188138071373,0.0011665892250775,0,0.00541429099358356,1.40610814001952,1.28236513359951,0.354397174225426
"Middle Brother","deep","high",2.33976155875,1.13780844775,8.25e-05,0.0056995755,0.010100636,0.01771588,3.5111685985,2.38550276275,1.1097831235,2.67168680631947,1.42383537422545,8.49686216592141e-05,0.0049886414665867,0,0.00293798019507734,2.07157298812187,1.20300449789333,1.15799939088813
"Eagle","lagoon","low",0,0.4260870365,1.1e-05,0.0023422915,0.046224034,0.0351633,0.50982766225,0.43994598475,0.021304352,0,0.68781530987839,2.2e-05,0.00248421724463495,0,0.00149907153585144,0.687807118174488,0.652596122879773,0.0343907656779283
"Eagle","shallow","low",0.000106435,0.3247957945,7.7e-05,0.00038073375,0.025054747,0.038953515,0.38936822525,0.347568059,0.0162876855,0.00021287,0.649591589,3.81051177665153e-05,0.000580399540999345,0,0.00583893913974962,0.651487569224389,0.619282619342407,0.0324477746861298
"Eagle","deep","low",0.101305656,2.08252058375,0.00124216375,0.003708963,0.004380382,0.01193066,2.2050883995,2.046043325,0.1497135745,0.165363533408147,1.05848751532952,0.00220261906751703,0.00260208210204226,0,0.00275250906871046,1.17288800386575,1.06582151941219,0.115620618555402
